mentor,android,natural language processing,female
mentor,c/c++,virtualization,female
mentor,c++11,real time,female
student,python,astronomy,female
mentor,python,astronomy,female
student,ruby on rails,censorship,female
mentor,ruby on rails,censorship,female
mentor,opencl,cad,female
student,opencl,cad,female
mentor,opencl,cad,female
student,python,space,female
student,python,bioinformatics,female
mentor,posix,operating systems,female
mentor,c,kernel,female
student,php,mediawiki,female
mentor,php,mediawiki,female
mentor,php,mediawiki,female
mentor,php,mediawiki,female
student,python,music,female
mentor,python,music,female
mentor,c,kernel,female
student,javascript,web,female
mentor,javascript,web,female
student,javascript,web,female
mentor,javascript,web,female
student,c,real time,female
mentor,qt,desktop applications,female
student,c++,machine translation,female
mentor,c++,machine translation,female
mentor,c++,machine translation,female
mentor,android,natural language processing,female
student,ruby,programming languages,female
mentor,ruby,programming languages,female
student,ruby,programming languages,female
mentor,ruby,programming languages,female
mentor,ruby,programming languages,female
student,r,data science,female
student,python,web development,female
mentor,c,cloud,female
mentor,python,scientific computing,female
mentor,java,cloud,female
mentor,java,cloud,female
mentor,r,data science,female
mentor,r,data science,female
student,python,image analysis,female
mentor,python,image analysis,female
mentor,python,image analysis,female
student,scilab,engineering,female
mentor,python,image analysis,female
student,python,image analysis,female
mentor,python,mailing lists,female
mentor,java,educational technology,female
student,waf,web application security,female
mentor,waf,web application security,female
student,waf,web application security,female
mentor,python,mathematics,female
mentor,c++,neuroscience,female
student,python,mathematics,female
mentor,python,mathematics,female
student,openwrt,mesh,female
mentor,openwrt,mesh,female
student,r,data science,female
mentor,r,data science,female
mentor,r,data science,female
student,c,audio,female
mentor,java,multimedia retrieval,female
mentor,android,security,female
mentor,ruby,programming languages,female
mentor,c++,web,female
student,linux,linux,female
mentor,linux,linux,female
mentor,c++,dataviz,female
student,python,education,female
mentor,python,education,female
mentor,python,image analysis,female
mentor,python,image analysis,female
mentor,python,image analysis,female
mentor,python,image analysis,female
mentor,python,image analysis,female
mentor,python,gis,female
mentor,julia,statistics,female
mentor,java,multimedia retrieval,female
mentor,openwrt,mesh,female
student,c++,machine translation,female
mentor,c++,machine translation,female
student,c++,computer vision,female
mentor,ruby on rails,censorship,female
student,ruby on rails,censorship,female
student,c++,machine learning,female
mentor,c++,machine learning,female
mentor,c++,machine learning,female
student,c++,numerical and data analysis software,female
mentor,c++,numerical and data analysis software,female
mentor,python,content management,female
mentor,c,media analysis,female
student,lua,programming languages,female
mentor,r,data science,female
mentor,r,data science,female
student,c/c++,virtualization,female
mentor,bsd,operating systems,female
mentor,bsd,operating systems,female
student,c/c++,security,female
student,c/c++,operating systems,female
student,java,cloud,female
mentor,python,gis,female
student,c/c++,network storage,female
mentor,c/c++,network storage,female
student,java,cancer,female
mentor,python,gis,female
student,opencl,cad,female
mentor,opencl,cad,female
student,javascript,web,female
mentor,javascript,web,female
mentor,javascript,web,female
mentor,javascript,web,female
mentor,javascript,web,female
mentor,javascript,web,female
mentor,javascript,web,female
mentor,javascript,web,female
mentor,javascript,web,female
mentor,javascript,web,female
mentor,javascript,web,female
mentor,javascript,web,female
mentor,javascript,web,female
student,javascript,web,female
mentor,javascript,web,female
mentor,javascript,web,female
mentor,python,space,female
mentor,java,iot,female
mentor,java,iot,female
student,c++,computer vision,female
mentor,c++,computer vision,female
mentor,distributed systems,cloud,female
mentor,golang,monitoring,female
mentor,golang,monitoring,female
student,c++,numerical and data analysis software,female
mentor,python,image analysis,female
student,python,image analysis,female
student,semantic web,embeddable widget,female
mentor,semantic web,embeddable widget,female
mentor,javascript,virtual reality,female
mentor,qt,desktop applications,female
mentor,c++,neuroscience,female
mentor,parallel processing,runtime systems,female
student,ruby,programming languages,female
mentor,ruby,programming languages,female
mentor,ruby,programming languages,female
student,c++,robotics,female
mentor,c++,robotics,female
student,android,education,female
mentor,android,education,female
mentor,php,mediawiki,female
student,java,cloud,female
student,php,web development,female
mentor,php,web development,female
mentor,ruby on rails,linux,female
student,php,web development,female
student,ruby,visualization,female
mentor,ruby,visualization,female
mentor,ruby,visualization,female
mentor,ruby,visualization,female
mentor,php,web development,female
student,posix,operating systems,female
mentor,c,kernel,female
mentor,verilog,embedded hardware,female
mentor,c,virtualization,female
mentor,dlang,compilers,female
mentor,java,cloud,female
mentor,java,cloud,female
mentor,middleware,cloud,female
mentor,middleware,cloud,female
mentor,python,scientific computing,female
student,c++,web,female
mentor,c++,web,female
mentor,erlang,messaging,female
student,c/c++,communications,female
student,ruby on rails,censorship,female
mentor,java,education,female
